"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"consensus_tme","Endothelial cell","Biopsy","kruskal",0.360771758144609,0.441618080662512,3,NA,14,11,11,0.222782881132555,0.179386855029594,0.170155431598567,0.138356714521691,0.120469272468514,0.103649540466789
"consensus_tme","Eosinophil","Biopsy","kruskal",0.00106731877550774,0.0203930327944857,3,NA,14,11,11,-0.0209267774572914,0.199856922258674,-0.0201649586143456,0.108909652653911,0.129563237605627,0.130588314148264
"consensus_tme","Macrophage","Biopsy","kruskal",0.00146317868680885,0.0203930327944857,3,NA,14,11,11,0.118578502785332,0.289918338777707,0.0888301693074222,0.0811216100988484,0.117015074503723,0.126035702164691
"consensus_tme","Macrophage M1","Biopsy","kruskal",0.00236030472158399,0.0203930327944857,3,NA,14,11,11,0.0603820104332073,0.252351441757264,0.0389138065286513,0.0983548836781695,0.127907162152425,0.152761971146693
"consensus_tme","Macrophage M2","Biopsy","kruskal",0.00413293285865665,0.0257421929729355,3,NA,14,11,11,0.177933699699855,0.324724829679866,0.141176949941541,0.0831221124784625,0.128040372748278,0.127665117801562
"consensus_tme","Mast cell","Biopsy","kruskal",0.00321186587608636,0.023922863077057,3,NA,14,11,11,-0.0628601532817891,0.110026433617789,-0.0786303899441766,0.0836978119465158,0.123157412150382,0.131277665767141
"consensus_tme","Monocyte","Biopsy","kruskal",0.00822575206130699,0.038467811971295,3,NA,14,11,11,0.0875588818757357,0.196979924822643,0.0412479796609627,0.0764178655274514,0.114403392650641,0.111086976732507
"consensus_tme","Myeloid dendritic cell","Biopsy","kruskal",0.00170274797769775,0.0203930327944857,3,NA,14,11,11,0.0546330710779878,0.231645802923711,0.0424915987029916,0.0776439177565666,0.116390486667437,0.12732932541501
"consensus_tme","NK cell","Biopsy","kruskal",0.00177387105352009,0.0203930327944857,3,NA,14,11,11,-0.138745866213857,0.0322786050773546,-0.1711105137723,0.0953785614225522,0.110757533889851,0.134776063152826
"consensus_tme","Neutrophil","Biopsy","kruskal",0.000379601182394776,0.0203930327944857,3,NA,14,11,11,-0.0469431296243017,0.104291841627489,-0.0523453816413718,0.0644354502481428,0.0784473166988402,0.0999401500953954
"consensus_tme","T cell CD4+","Biopsy","kruskal",0.00316264284886426,0.023922863077057,3,NA,14,11,11,0.00956577746508167,0.171098555905008,-0.0212508810484737,0.0959680477155523,0.113820269889862,0.13308852382277
"consensus_tme","T cell CD8+","Biopsy","kruskal",0.00221287907270715,0.0203930327944857,3,NA,14,11,11,0.00524391182698505,0.156509683146624,-0.0375252131563462,0.0949175912124893,0.11418020761691,0.130578290240156
"consensus_tme","T cell gamma delta","Biopsy","kruskal",0.00167488815007577,0.0203930327944857,3,NA,14,11,11,-0.0836715831296931,0.108622392170843,-0.118847004692078,0.102478161801772,0.124877505167848,0.148258592054659
"consensus_tme","T cell regulatory (Tregs)","Biopsy","kruskal",0.00515984872464326,0.0293296664348143,3,NA,14,11,11,-0.00974746001367447,0.150646543180562,-0.0536002063984052,0.10797013843128,0.136993527522454,0.158887835133723
"consensus_tme","cytotoxicity score","Biopsy","kruskal",0.000299664628734738,0.0203930327944857,3,NA,14,11,11,-0.117515418180833,0.104455680332559,-0.140684417169915,0.100183391220173,0.113478430606282,0.140314361241081
"consensus_tme","immune score","Biopsy","kruskal",0.00186889294319453,0.0203930327944857,3,NA,14,11,11,0.020576509177265,0.166870264634267,-0.00818278736002198,0.0725132154352747,0.102803071822571,0.114572666767458
"epic","B cell","Biopsy","kruskal",0.141512892161888,0.225025374309779,3,NA,14,11,11,0.00778248680392725,0.0193771989337506,0.00704257505085702,0.0111283930483394,0.0215909125242113,0.010148538985203
"epic","Cancer associated fibroblast","Biopsy","kruskal",0.0914538192351455,0.1674069911423,3,NA,14,11,11,0.290430927153363,0.113732523669697,0.231158369626204,0.322776351504643,0.143072285637926,0.159931357431145
"epic","Endothelial cell","Biopsy","kruskal",0.328929902933261,0.417934464903438,3,NA,14,11,11,0.0423211677843284,0.0232422129592655,0.0280664401116134,0.0434395424555281,0.0237988332197878,0.0225460610816091
